type,ins,i30,i25,i14,i13,i12,i6,i5,i4 ,i3,i2,ibin,ihex,brsel3,brsel2,brsel1,brsel0,as4,as3,as2,as1,as0,regwen,is2,is1,is0,bsel,obin
ALU,add,0,0,0,0,0,0,1,1,0,0,0000001100,C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,00000000010000
,sub,1,0,0,0,0,0,1,1,0,0,1000001100,FFFFFFFE0C,0,0,0,0,0,1,0,0,0,1,0,0,0,0,00000100010000
,or,0,0,1,1,0,0,1,1,0,0,0011001100,CC,0,0,0,0,0,0,1,1,0,1,0,0,0,0,00000011010000
,and,0,0,1,1,1,0,1,1,0,0,0011101100,EC,0,0,0,0,0,0,1,1,1,1,0,0,0,0,00000011110000
,sll,0,0,0,0,1,0,1,1,0,0,0000101100,2C,0,0,0,0,0,0,0,0,1,1,0,0,0,0,00000000110000
,srl,0,0,1,0,1,0,1,1,0,0,0010101100,AC,0,0,0,0,0,0,1,0,1,1,0,0,0,0,00000010110000
,sra,1,0,1,0,1,0,1,1,0,0,1010101100,FFFFFFFEAC,0,0,0,0,0,1,1,0,1,1,0,0,0,0,00000110110000
,slt,0,0,0,1,0,0,1,1,0,0,0001001100,4C,0,0,0,0,0,0,0,1,0,1,0,0,0,0,00000001010000
,sltu,0,0,0,1,1,0,1,1,0,0,0001101100,6C,0,0,0,0,0,0,0,1,1,1,0,0,0,0,00000001110000
,xor,0,0,1,0,0,0,1,1,0,0,0010001100,8C,0,0,0,0,0,0,1,0,0,1,0,0,0,0,00000010010000
,mul,0,1,0,0,0,0,1,1,0,0,0100001100,10C,0,0,0,0,1,1,1,1,0,1,0,0,0,0,00001111010000
,mulh,0,1,0,0,1,0,1,1,0,0,0100101100,12C,0,0,0,0,1,1,1,1,1,1,0,0,0,0,00001111110000
,mulhsu,0,1,0,1,0,0,1,1,0,0,0101001100,14C,0,0,0,0,1,1,0,0,0,1,0,0,0,0,00001100010000
,mulhu,0,1,0,1,1,0,1,1,0,0,0101101100,16C,0,0,0,0,1,1,0,0,1,1,0,0,0,0,00001100110000
,div,0,1,1,0,0,0,1,1,0,0,0110001100,18C,0,0,0,0,1,0,0,1,0,1,0,0,0,0,00001001010000
,divu,0,1,1,0,1,0,1,1,0,0,0110101100,1AC,0,0,0,0,1,0,0,1,1,1,0,0,0,0,00001001110000
,rem,0,1,1,1,0,0,1,1,0,0,0111001100,1CC,0,0,0,0,1,0,1,0,0,1,0,0,0,0,00001010010000
,remu,0,1,1,1,1,0,1,1,0,0,0111101100,1EC,0,0,0,0,1,0,1,0,1,1,0,0,0,0,00001010110000
ALU IMM,addi,0,0,0,0,0,0,0,1,0,0,0000000100,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,00000000010001
,,1,1,0,0,0,0,0,1,0,0,1100000100,FFFFFFFF04,0,0,0,0,0,0,0,0,0,1,0,0,0,1,00000000010001
,,0,1,0,0,0,0,0,1,0,0,0100000100,104,0,0,0,0,0,0,0,0,0,1,0,0,0,1,00000000010001
,,1,0,0,0,0,0,0,1,0,0,1000000100,FFFFFFFE04,0,0,0,0,0,0,0,0,0,1,0,0,0,1,00000000010001
,xori,0,0,1,0,0,0,0,1,0,0,0010000100,84,0,0,0,0,0,0,1,0,0,1,0,0,0,1,00000010010001
,,1,1,1,0,0,0,0,1,0,0,1110000100,FFFFFFFF84,0,0,0,0,0,0,1,0,0,1,0,0,0,1,00000010010001
,,0,1,1,0,0,0,0,1,0,0,0110000100,184,0,0,0,0,0,0,1,0,0,1,0,0,0,1,00000010010001
,,1,0,1,0,0,0,0,1,0,0,1010000100,FFFFFFFE84,0,0,0,0,0,0,1,0,0,1,0,0,0,1,00000010010001
,ori,0,0,1,1,0,0,0,1,0,0,0011000100,C4,0,0,0,0,0,0,1,1,0,1,0,0,0,1,00000011010001
,,1,1,1,1,0,0,0,1,0,0,1111000100,FFFFFFFFC4,0,0,0,0,0,0,1,1,0,1,0,0,0,1,00000011010001
,,0,1,1,1,0,0,0,1,0,0,0111000100,1C4,0,0,0,0,0,0,1,1,0,1,0,0,0,1,00000011010001
,,1,0,1,1,0,0,0,1,0,0,1011000100,FFFFFFFEC4,0,0,0,0,0,0,1,1,0,1,0,0,0,1,00000011010001
,andi,0,0,1,1,1,0,0,1,0,0,0011100100,E4,0,0,0,0,0,0,1,1,1,1,0,0,0,1,00000011110001
,,1,1,1,1,1,0,0,1,0,0,1111100100,FFFFFFFFE4,0,0,0,0,0,0,1,1,1,1,0,0,0,1,00000011110001
,,0,1,1,1,1,0,0,1,0,0,0111100100,1E4,0,0,0,0,0,0,1,1,1,1,0,0,0,1,00000011110001
,,1,0,1,1,1,0,0,1,0,0,1011100100,FFFFFFFEE4,0,0,0,0,0,0,1,1,1,1,0,0,0,1,00000011110001
,slli,0,0,0,0,1,0,0,1,0,0,0000100100,24,0,0,0,0,0,0,0,0,1,1,0,0,0,1,00000000110001
,srli,0,0,1,0,1,0,0,1,0,0,0010100100,A4,0,0,0,0,0,0,1,0,1,1,0,0,0,1,00000010110001
,srai,1,0,1,0,1,0,0,1,0,0,1010100100,FFFFFFFEA4,0,0,0,0,0,1,1,0,1,1,0,0,0,1,00000110110001
,slti,0,0,0,1,0,0,0,1,0,0,0001000100,44,0,0,0,0,0,0,0,1,0,1,0,0,0,1,00000001010001
,,1,1,0,1,0,0,0,1,0,0,1101000100,FFFFFFFF44,0,0,0,0,0,0,0,1,0,1,0,0,0,1,00000001010001
,,0,1,0,1,0,0,0,1,0,0,0101000100,144,0,0,0,0,0,0,0,1,0,1,0,0,0,1,00000001010001
,,1,0,0,1,0,0,0,1,0,0,1001000100,FFFFFFFE44,0,0,0,0,0,0,0,1,0,1,0,0,0,1,00000001010001
,sltiu,0,0,0,1,1,0,0,1,0,0,0001100100,64,0,0,0,0,0,0,0,1,1,1,0,0,0,1,00000001110001
,,0,1,0,1,1,0,0,1,0,0,0101100100,164,0,0,0,0,0,0,0,1,1,1,0,0,0,1,00000001110001
,,1,0,0,1,1,0,0,1,0,0,1001100100,FFFFFFFE64,0,0,0,0,0,0,0,1,1,1,0,0,0,1,00000001110001
